fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
4686,947,3,0,20 of 36,32 of 49,2 of 2,0,0,3:56,15 of 31,4 of 4,1 of 1,7 of 17,0 of 1,13 of 18
4686,2641,1,0,15 of 30,16 of 33,2 of 5,0,0,1:23,6 of 17,9 of 13,0 of 0,9 of 21,6 of 9,0 of 0
4686,2641,2,0,19 of 25,25 of 31,1 of 4,1,0,0:46,19 of 22,0 of 3,0 of 0,0 of 4,1 of 1,18 of 20
4686,2641,3,0,4 of 14,4 of 14,0 of 1,0,0,0:03,4 of 11,0 of 2,0 of 1,4 of 14,0 of 0,0 of 0
4687,1523,1,0,8 of 13,40 of 49,5 of 8,0,0,4:30,5 of 9,1 of 1,2 of 3,3 of 7,3 of 4,2 of 2
4687,1523,2,0,11 of 24,33 of 53,2 of 6,0,0,4:01,10 of 22,0 of 1,1 of 1,10 of 22,1 of 2,0 of 0
4687,1523,3,0,8 of 34,21 of 50,1 of 5,0,0,2:39,7 of 30,1 of 4,0 of 0,7 of 33,1 of 1,0 of 0
4687,4453,1,0,6 of 11,9 of 14,0 of 0,0,0,0:00,1 of 5,4 of 4,1 of 2,2 of 7,4 of 4,0 of 0
4687,4453,2,0,15 of 27,33 of 46,0 of 0,1,0,0:00,6 of 17,5 of 5,4 of 5,12 of 24,2 of 2,1 of 1
4687,4453,3,0,38 of 74,51 of 87,0 of 0,0,0,0:00,26 of 56,9 of 15,3 of 3,30 of 65,8 of 9,0 of 0
4688,3062,1,1,8 of 23,8 of 23,1 of 1,1,1,1:02,8 of 22,0 of 1,0 of 0,8 of 20,0 of 1,0 of 2
4688,3771,1,0,7 of 9,15 of 17,2 of 3,0,0,1:40,3 of 5,1 of 1,3 of 3,3 of 5,0 of 0,4 of 4
4689,898,1,0,21 of 76,21 of 76,0 of 0,0,0,0:00,16 of 70,3 of 4,2 of 2,21 of 76,0 of 0,0 of 0
4689,898,2,0,17 of 41,29 of 53,0 of 3,0,0,1:08,13 of 35,3 of 5,1 of 1,15 of 35,2 of 6,0 of 0
4689,898,3,0,18 of 32,36 of 50,0 of 3,1,0,3:06,17 of 29,1 of 3,0 of 0,3 of 9,0 of 3,15 of 20
4689,2959,1,0,16 of 45,16 of 45,0 of 0,0,0,0:00,9 of 33,5 of 9,2 of 3,15 of 44,1 of 1,0 of 0
4689,2959,2,0,17 of 41,23 of 49,0 of 0,0,0,0:00,10 of 29,7 of 11,0 of 1,15 of 39,2 of 2,0 of 0
4689,2959,3,0,7 of 10,9 of 12,0 of 0,1,0,0:02,4 of 7,3 of 3,0 of 0,6 of 9,1 of 1,0 of 0
4690,942,1,0,19 of 45,19 of 45,1 of 1,0,0,0:17,10 of 34,6 of 8,3 of 3,19 of 45,0 of 0,0 of 0
4690,942,2,0,9 of 28,13 of 33,2 of 3,0,0,2:36,6 of 23,3 of 4,0 of 1,7 of 19,1 of 2,1 of 7
4690,942,3,0,22 of 43,23 of 44,1 of 2,0,0,1:06,14 of 33,5 of 7,3 of 3,22 of 43,0 of 0,0 of 0
4690,2428,1,0,11 of 48,11 of 48,0 of 1,0,0,0:00,7 of 44,3 of 3,1 of 1,11 of 47,0 of 1,0 of 0
4690,2428,2,0,17 of 39,18 of 40,0 of 0,2,0,0:00,10 of 27,6 of 9,1 of 3,14 of 36,3 of 3,0 of 0
4690,2428,3,0,19 of 60,20 of 61,0 of 0,0,0,0:03,11 of 49,7 of 9,1 of 2,17 of 58,2 of 2,0 of 0
4691,2656,1,0,21 of 65,29 of 74,1 of 1,0,0,2:36,20 of 64,1 of 1,0 of 0,17 of 61,0 of 0,4 of 4
