"fight_id","event_name","fight_date","weight_class","title_bout","winner","win_method","f1_fighter_id","f1_name","f1_height","f1_weight","f1_reach","f1_stance","f1_dob","f1_wins","f1_losses","f1_draws","f1_slpm","f1_str_acc","f1_sapm","f1_str_def","f1_td_avg","f1_td_acc","f1_td_def","f1_sub_avg","f2_fighter_id","f2_name","f2_height","f2_weight","f2_reach","f2_stance","f2_dob","f2_wins","f2_losses","f2_draws","f2_slpm","f2_str_acc","f2_sapm","f2_str_def","f2_td_avg","f2_td_acc","f2_td_def","f2_sub_avg"
38,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Dave Beneteau","KO/TKO",327,"Dave Beneteau",74,250,0,"Orthodox","1900-01-01","1","0","0","34.28571428571428571429","0.66666666666666666667","0.00000000000000000000",NULL,"42.85714285714285714290","1.00000000000000000000",NULL,"0.00000000000000000000",2552,"Todd Medina",70,193,0,"Southpaw","1970-04-30","1","0","0","1.3714285714285714","1.00000000000000000000","0.34285714285714285322","0.50000000000000000000","5.14285714285714279830","1.00000000000000000000",NULL,"5.14285714285714279830"
39,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Dan Severn","TKO - Doctor's Stoppage",3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","3","1","0","0.29900332225913621262","0.54545454545454545455","0.49833887043189368771","0.37500000000000000000","3.73754152823920265775","0.62500000000000000000",NULL,"2.24252491694352159465",3947,"Oleg Taktarov",72,210,0,"Orthodox","1967-08-26","1","0","0","0.00000000000000000000",NULL,"0.83916083916083917258","0.60000000000000000000","0.00000000000000000000","0.00000000000000000000",NULL,"6.29370629370629379435"
40,"UFC 5: The Return of the Beast","1995-04-07","UFC Superfight Championship Bout",True,"Draw","Other",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","8","0","0","0.66866695242177453807","0.50000000000000000000","0.46292327475353621867","0.55000000000000000000","1.54307758251178739550","0.40000000000000000000","0.00000000000000000000","4.62923274753536218665",3644,"Ken Shamrock",73,205,72,"Orthodox","1964-02-11","2","0","0","1.2788632326820604","0.92307692307692307692","0.42628774422735346056","0.20000000000000000000","3.19715808170515095420","0.66666666666666666667",NULL,"1.59857904085257547710"
41,"UFC 5: The Return of the Beast","1995-04-07","UFC 5 Tournament Title Bout",True,"Dan Severn","Submission",327,"Dave Beneteau",74,250,0,"Orthodox","1900-01-01","2","0","0","7.84313725490196078431","0.64516129032258064516","0.00000000000000000000",NULL,"11.76470588235294117645","1.00000000000000000000",NULL,"0.00000000000000000000",3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","4","1","0","0.61433447098976109215","0.53571428571428571429","0.40955631399317406143","0.37500000000000000000","3.68600682593856655290","0.66666666666666666667",NULL,"1.84300341296928327645"
42,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Joel Sutton","KO/TKO",2527,"Jack McGlaughlin",0,0,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3911,"Joel Sutton",71,205,0,"Orthodox","1969-07-07","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Anthony Macias","KO/TKO",1392,"He-Man Gipson",0,0,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2350,"Anthony Macias",69,185,0,"Switch","1969-02-09","0","1","0","4.5714285714285714","0.88888888888888888889","0.00000000000000000000",NULL,"0.00000000000000000000",NULL,"0.60000000000000000000","0.00000000000000000000"
44,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"David Abbott","KO/TKO",5,"David Abbott",72,265,0,"Switch","1965-04-26","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2485,"John Matua",74,400,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Paul Varelans","KO/TKO",4141,"Paul Varelans",80,300,0,"Orthodox","1969-09-17","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4343,"Cal Worsham",71,230,0,"Orthodox","1963-06-11","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Patrick Smith","Submission",2667,"Rudyard Moncayo",70,195,0,"Orthodox","1973-05-17","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3747,"Patrick Smith",74,225,0,"Orthodox","1963-08-28","3","1","0","5.17241379310344827586","0.62500000000000000000","2.32758620689655172414","0.35714285714285714286","0.00000000000000000000","0.00000000000000000000","0.66666666666666666667","7.75862068965517241385"
47,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Oleg Taktarov","Submission",327,"Dave Beneteau",74,250,0,"Orthodox","1900-01-01","2","1","0","3.95209580838323350927","0.59459459459459459459","0.35928143712574850084","0.33333333333333333333","5.38922155688622751260","1.00000000000000000000","0.00000000000000000000","0.00000000000000000000",3947,"Oleg Taktarov",72,210,0,"Orthodox","1967-08-26","1","1","0","0.00000000000000000000",NULL,"1.6336633663366337","0.50000000000000000000","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","2.22772277227722773385"
48,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"David Abbott","KO/TKO",5,"David Abbott",72,265,0,"Switch","1965-04-26","1","0","0","21.00000000000000000021","0.58333333333333333333","0.00000000000000000000",NULL,"0.00000000000000000000",NULL,NULL,"0.00000000000000000000",4141,"Paul Varelans",80,300,0,"Orthodox","1969-09-17","1","0","0","7.7419354838709680","0.36363636363636363636","8.7096774193548390","0.72727272727272727273","0.00000000000000000000",NULL,"1.00000000000000000000","0.00000000000000000000"
49,"UFC 6: Clash of the Titans","1995-07-14","Open Weight Bout",False,"Oleg Taktarov","Submission",2350,"Anthony Macias",69,185,0,"Switch","1969-02-09","1","1","0","4.5714285714285714","0.88888888888888888889","0.00000000000000000000",NULL,"0.00000000000000000000",NULL,"0.60000000000000000000","0.00000000000000000000",3947,"Oleg Taktarov",72,210,0,"Orthodox","1967-08-26","2","1","0","0.00000000000000000000","0.00000000000000000000","2.08242950108459870752","0.55555555555555555556","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","3.90455531453362257660"
50,"UFC 6: Clash of the Titans","1995-07-14","UFC Superfight Championship Bout",True,"Ken Shamrock","Submission",3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","5","1","0","0.61968408262454434919","0.54838709677419354839","0.43742405832320777590","0.45454545454545454545","3.82746051032806803915","0.70000000000000000000",NULL,"2.18712029161603887945",3644,"Ken Shamrock",73,205,72,"Orthodox","1964-02-11","2","0","1","1.1349957007738607","0.62857142857142857143","0.36113499570077385946","0.58823529411764705882","2.32158211521926052510","0.75000000000000000000","1.00000000000000000000","0.77386070507308684170"
51,"UFC 6: Clash of the Titans","1995-07-14","UFC 6 Tournament Title Bout",True,"Oleg Taktarov","Submission",5,"David Abbott",72,265,0,"Switch","1965-04-26","2","0","0","9.47368421052631593195","0.63636363636363636364","0.45112781954887218724","0.50000000000000000000","6.76691729323308280860","1.00000000000000000000",NULL,"0.00000000000000000000",3947,"Oleg Taktarov",72,210,0,"Orthodox","1967-08-26","3","1","0","0.00000000000000000000","0.00000000000000000000","2.04255319148936171082","0.55555555555555555556","0.00000000000000000000","0.00000000000000000000","0.33333333333333333333","5.74468085106382981170"
52,"UFC 7: The Brawl in Buffalo","1995-09-08","Open Weight Bout",False,"Joel Sutton","TKO - Doctor's Stoppage",1949,"Geza Kalman",73,200,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3911,"Joel Sutton",71,205,0,"Orthodox","1969-07-07","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"UFC 7: The Brawl in Buffalo","1995-09-08","Open Weight Bout",False,"Onassis Parungao","KO/TKO",2486,"Francesco Maturi",0,0,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3027,"Onassis Parungao",71,200,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"UFC 7: The Brawl in Buffalo","1995-09-08","Open Weight Bout",False,"Scott Bessac","Submission",352,"Scott Bessac",76,245,0,"NaN","1965-10-05","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1717,"David Hood",72,200,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"UFC 7: The Brawl in Buffalo","1995-09-08","Open Weight Bout",False,"Paul Varelans","KO/TKO",1584,"Gerry Harris",80,270,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4141,"Paul Varelans",80,300,0,"Orthodox","1969-09-17","1","1","0","3.0857142857142858","0.37500000000000000000","7.8857142857142859","0.57407407407407407407","0.00000000000000000000",NULL,"0.50000000000000000000","0.00000000000000000000"
56,"UFC 7: The Brawl in Buffalo","1995-09-08","Open Weight Bout",False,"Mark Hall","KO/TKO",1549,"Mark Hall",72,190,0,"Orthodox","1961-01-26","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1737,"Harold Howard",74,240,0,"Orthodox","1900-01-01","1","1","0","4.96240601503759398495","0.61111111111111111111","4.06015037593984962405","0.40000000000000000000","0.00000000000000000000","0.00000000000000000000","0.33333333333333333333","6.76691729323308270675"
