fight_id,fighter_id,round,kd,sub_att,reversals,ctr_time,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5444,4374,1,0,0,0,00:00:00,15,34,16,35,0,0,9,25,4,6,2,3,10,27,5,7,0,0
5444,4374,2,2,0,0,00:01:26,33,64,40,71,2,2,27,57,6,7,0,0,12,38,7,8,14,18
5444,4374,3,1,0,0,00:00:01,6,10,6,10,0,0,4,8,1,1,1,1,4,8,2,2,0,0
5444,1156,1,0,0,0,00:00:00,9,35,12,38,0,2,6,25,2,8,1,2,7,32,2,3,0,0
5444,1156,2,0,0,0,00:00:16,9,36,16,43,0,1,8,35,0,0,1,1,8,34,1,2,0,0
5444,1156,3,0,0,0,00:00:00,0,5,0,5,0,0,0,4,0,1,0,0,0,5,0,0,0,0
5445,2688,1,0,0,0,00:00:20,18,42,18,42,1,1,13,36,3,4,2,2,17,41,1,1,0,0
5445,2688,2,0,0,0,00:00:00,21,54,21,54,0,0,18,51,2,2,1,1,21,54,0,0,0,0
5445,2688,3,0,0,0,00:00:00,20,41,20,41,0,1,17,37,2,3,1,1,20,41,0,0,0,0
5445,64,1,0,0,0,00:00:00,15,40,20,45,0,0,9,30,4,8,2,2,15,40,0,0,0,0
5445,64,2,0,0,0,00:00:00,28,56,28,56,0,0,20,41,7,14,1,1,28,56,0,0,0,0
5445,64,3,0,0,0,00:00:00,15,51,15,51,0,0,10,38,5,12,0,1,14,50,1,1,0,0
5446,2880,1,0,2,0,00:02:53,42,87,43,88,2,2,38,81,1,1,3,5,4,16,1,1,37,70
5446,2880,2,0,0,0,00:02:13,9,26,33,51,2,3,4,20,0,0,5,6,5,17,1,1,3,8
5446,2880,3,0,0,0,00:04:21,16,44,47,80,1,2,13,39,1,2,2,3,2,8,0,0,14,36
5446,2880,4,0,0,0,00:04:16,12,24,22,39,2,3,8,19,2,3,2,2,4,4,0,1,8,19
5446,2880,5,0,0,0,00:04:46,0,3,54,79,1,1,0,3,0,0,0,0,0,1,0,0,0,2
5446,908,1,0,0,0,00:00:48,11,23,22,36,0,0,2,11,4,7,5,5,4,9,4,4,3,10
5446,908,2,0,0,0,00:00:32,16,30,29,43,0,0,10,24,5,5,1,1,9,22,7,8,0,0
5446,908,3,0,0,0,00:00:04,8,10,17,20,0,0,5,7,1,1,2,2,3,5,0,0,5,5
5446,908,4,0,1,0,00:00:16,4,6,28,33,0,0,2,4,1,1,1,1,2,4,1,1,1,1
5446,908,5,0,0,0,00:00:00,1,4,30,43,0,0,0,2,0,1,1,1,1,2,0,0,0,2
5447,1698,1,0,0,0,00:00:00,19,40,19,40,0,0,13,33,4,4,2,3,19,40,0,0,0,0
5447,1698,2,0,0,0,00:00:00,22,55,22,55,0,0,16,46,2,4,4,5,22,55,0,0,0,0
5447,1698,3,0,0,0,00:00:00,22,60,22,60,0,0,13,46,3,4,6,10,22,60,0,0,0,0
5447,1698,4,0,0,0,00:00:00,37,71,37,71,0,0,24,54,9,11,4,6,37,71,0,0,0,0
5447,1698,5,0,0,0,00:00:02,34,77,35,78,0,0,19,54,14,21,1,2,32,75,2,2,0,0
5447,4204,1,0,0,0,00:00:13,27,56,27,56,0,1,11,34,3,4,13,18,27,56,0,0,0,0
5447,4204,2,0,0,0,00:00:00,28,48,28,48,0,0,4,19,2,4,22,25,28,48,0,0,0,0
5447,4204,3,0,0,0,00:00:00,35,63,35,63,0,0,14,34,6,12,15,17,35,63,0,0,0,0
5447,4204,4,0,0,0,00:00:10,36,75,36,75,0,1,20,51,1,6,15,18,35,74,1,1,0,0
